timestamp,model,report_file,mae,rmse,r2
2025-08-14_06-12-04,lr,lr_report_2025-08-14_06-12-04.md,0.0,0.0,1.0
2025-08-14_06-13-34,rf,rf_report_2025-08-14_06-13-34.md,0.0,0.0,1.0
2025-08-14_06-13-36,xgb,xgb_report_2025-08-14_06-13-36.md,0.06,0.72,0.98
2025-08-14_06-13-39,poly,poly_report_2025-08-14_06-13-39.md,0.0,0.0,1.0
2025-08-14_06-20-11,stack,stack_report_2025-08-14_06-20-11.md,0.0,0.0,1.0
2025-08-14_06-33-04,lr,lr_report_2025-08-14_06-33-04.md,0.0,0.0,1.0
2025-08-14_06-34-17,rf,rf_report_2025-08-14_06-34-17.md,0.0,0.01,1.0
2025-08-14_06-34-19,xgb,xgb_report_2025-08-14_06-34-19.md,0.06,0.72,0.98
2025-08-14_06-34-22,poly,poly_report_2025-08-14_06-34-22.md,0.0,0.0,1.0
2025-08-14_06-40-14,stack,stack_report_2025-08-14_06-40-14.md,0.0,0.0,1.0
